sku,salesdate,price,unitsordered,sales,cogs,fba,reffee,adspend,profit,comp_1_price,comp_2_price,comp_3_price,comp_4_price,comp_5_price,comp_data_min_price,comp_data_max_price,managed_fba_stock_level,min_price,max_price
File Folders SKU 21,2022-02-16,17.99,2,36.0,9.0,13.0,5.0,0.0,9.0,24.44,,,,,24.44,24.44,,14.99,23.99
File Folders SKU 21,2022-02-17,17.99,1,18.0,4.0,7.0,3.0,0.0,4.0,24.44,,,,,24.44,24.44,,14.99,23.99
File Folders SKU 21,2022-02-18,17.99,1,18.0,4.0,7.0,3.0,0.0,4.0,24.44,,,,,24.44,24.44,,14.99,23.99
File Folders SKU 21,2022-02-20,17.99,1,18.0,4.0,7.0,3.0,0.0,4.0,24.44,,,,,24.44,24.44,,14.99,23.99
File Folders SKU 21,2022-02-21,17.99,1,18.0,4.0,7.0,3.0,0.0,4.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-02-22,17.99,6,108.0,27.0,40.0,16.0,0.0,25.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-02-23,17.99,3,54.0,13.0,20.0,8.0,0.0,13.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-02-24,18.29,4,73.0,18.0,26.0,11.0,0.0,18.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-02-25,17.99,11,198.0,49.0,73.0,30.0,0.0,46.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-02-26,17.99,5,90.0,22.0,33.0,14.0,0.0,21.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-02-27,18.49,3,55.0,13.0,20.0,8.0,0.0,14.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-02-28,17.99,1,18.0,4.0,7.0,3.0,0.0,4.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-03-01,17.99,4,72.0,18.0,26.0,11.0,0.0,17.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-03-02,17.99,3,54.0,13.0,20.0,8.0,0.0,13.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-03-03,17.99,3,54.0,13.0,20.0,8.0,0.0,13.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-03-04,17.99,1,18.0,4.0,7.0,3.0,0.0,4.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-03-05,17.99,2,36.0,9.0,13.0,5.0,0.0,9.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-03-07,17.99,9,162.0,40.0,59.0,24.0,0.0,39.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-03-08,17.99,16,288.0,71.0,106.0,43.0,0.0,68.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-03-09,17.99,11,198.0,49.0,73.0,30.0,0.0,46.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-03-10,17.99,12,216.0,53.0,79.0,32.0,8.0,44.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-03-11,17.99,9,162.0,40.0,59.0,24.0,13.0,26.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-03-12,17.99,7,126.0,31.0,46.0,19.0,1.0,29.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-03-13,17.99,4,72.0,18.0,26.0,11.0,2.0,15.0,24.99,,,,,24.99,24.99,,14.99,23.99
File Folders SKU 21,2022-03-14,17.99,4,72.0,18.0,26.0,11.0,5.0,12.0,24.98,,,,,24.98,24.98,,14.99,23.99
File Folders SKU 21,2022-03-15,17.99,6,108.0,27.0,40.0,16.0,4.0,21.0,24.98,,,,,24.98,24.98,,14.99,23.99
File Folders SKU 21,2022-03-16,17.99,8,144.0,36.0,53.0,22.0,5.0,28.0,24.98,,,,,24.98,24.98,,14.99,23.99
File Folders SKU 21,2022-03-17,14.39,5,72.0,22.0,33.0,11.0,5.0,1.0,24.98,,,,,24.98,24.98,,14.99,23.99
File Folders SKU 21,2022-03-18,17.99,5,90.0,22.0,33.0,14.0,4.0,17.0,24.98,,,,,24.98,24.98,,14.99,23.99
File Folders SKU 21,2022-03-19,17.99,1,18.0,4.0,7.0,3.0,2.0,2.0,24.98,,,,,24.98,24.98,,14.99,23.99
File Folders SKU 21,2022-03-20,21.59,5,108.0,22.0,33.0,16.0,4.0,33.0,24.98,,,,,24.98,24.98,,14.99,23.99
File Folders SKU 21,2022-03-21,16.79,15,252.0,67.0,99.0,38.0,5.0,43.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-03-22,17.99,10,180.0,44.0,66.0,27.0,9.0,34.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-03-23,17.99,9,162.0,40.0,59.0,24.0,6.0,33.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-03-24,17.99,7,126.0,31.0,46.0,19.0,9.0,21.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-03-25,17.89,3,54.0,13.0,20.0,8.0,5.0,8.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-03-26,17.99,4,72.0,18.0,26.0,11.0,5.0,12.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-03-27,17.99,4,72.0,18.0,26.0,11.0,7.0,10.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-03-28,17.79,5,89.0,22.0,33.0,13.0,1.0,20.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-03-29,17.89,8,143.0,36.0,53.0,21.0,6.0,27.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-03-30,17.99,7,126.0,31.0,46.0,19.0,6.0,24.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-03-31,17.89,4,72.0,18.0,26.0,11.0,6.0,11.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-04-01,17.99,4,72.0,18.0,26.0,11.0,3.0,14.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-04-02,17.99,6,108.0,27.0,40.0,16.0,4.0,21.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-04-03,17.99,2,36.0,9.0,13.0,5.0,3.0,6.0,24.4,,,,,24.4,24.4,,14.99,23.99
File Folders SKU 21,2022-04-04,17.39,18,313.0,80.0,119.0,47.0,4.0,63.0,24.71,,,,,24.71,24.71,,14.99,23.99
File Folders SKU 21,2022-04-05,17.69,4,71.0,18.0,26.0,11.0,2.0,14.0,24.71,,,,,24.71,24.71,,14.99,23.99
File Folders SKU 21,2022-04-06,17.89,12,215.0,53.0,79.0,32.0,6.0,45.0,24.71,,,,,24.71,24.71,,14.99,23.99
File Folders SKU 21,2022-04-07,17.89,6,107.0,27.0,40.0,16.0,7.0,17.0,24.71,,,,,24.71,24.71,,14.99,23.99
File Folders SKU 21,2022-04-08,17.79,14,249.0,62.0,92.0,37.0,4.0,54.0,24.71,,,,,24.71,24.71,,14.99,23.99
File Folders SKU 21,2022-04-09,17.99,7,126.0,31.0,46.0,19.0,4.0,26.0,24.71,,,,,24.71,24.71,,14.99,23.99
