Price,Robust,Optimistic
1.499000000000000021e+01,-5.940115694413233172e+00,1.106854105078322270e+01
1.505000000000000071e+01,-5.685115440607786397e+00,1.183354106760848623e+01
1.508999999999999986e+01,-5.515115300227176220e+00,1.234354135935659436e+01
1.515000000000000036e+01,-5.260114577377676071e+00,1.310854214545713070e+01
1.518999999999999950e+01,-5.090113585922821038e+00,1.361854311331320844e+01
1.525000000000000000e+01,-4.835110773520436389e+00,1.438354576723567568e+01
1.528999999999999915e+01,-4.665107391493439337e+00,1.489354922662330161e+01
1.534999999999999964e+01,-4.410097282749297243e+00,1.565855903351258682e+01
1.538999999999999879e+01,-4.240084661828065649e+00,1.616857184204890174e+01
1.544999999999999929e+01,-3.985047460304608880e+00,1.693360819437567955e+01
1.548999999999999844e+01,-3.815000406899291097e+00,1.744365414415016957e+01
1.554999999999999893e+01,-3.559863515834719827e+00,1.820878883786753377e+01
1.558999999999999808e+01,-3.389690580779553652e+00,1.871895854470835019e+01
1.564999999999999858e+01,-3.134187646345884204e+00,1.948445521215372622e+01
1.568999999999999773e+01,-2.963553968524636595e+00,1.999508196684345052e+01
1.574999999999999822e+01,-2.706704273939220862e+00,2.076190858268759243e+01
1.578999999999999737e+01,-2.534374396159877918e+00,2.127421200138176971e+01
1.584999999999999787e+01,-2.272580467431095652e+00,2.204592682051998054e+01
1.588999999999999702e+01,-2.094023818850784480e+00,2.256438494240964232e+01
1.594999999999999751e+01,-1.814108074040173157e+00,2.335401500354581472e+01
1.598999999999999666e+01,-1.612793272805605138e+00,2.389497583493882260e+01
1.604999999999999716e+01,-1.267020414151276642e+00,2.474973115455193451e+01
1.608999999999999631e+01,-9.837764920840742500e-01,2.537171559241363639e+01
1.614999999999999503e+01,-4.056242473634303902e-01,2.645630352333149560e+01
1.618999999999999417e+01,1.574459220122902681e-01,2.735506834420516498e+01
1.624999999999999289e+01,1.478329006609839125e+00,2.917435844513325449e+01
1.628999999999999204e+01,2.846795418056032201e+00,3.086986748102952305e+01
1.634999999999999076e+01,5.919303716562925644e+00,3.442209677541813306e+01
1.638999999999998991e+01,8.690236029929165440e+00,3.750523215623729101e+01
1.644999999999998863e+01,1.355104525004085225e+01,4.282710359039616321e+01
1.648999999999998778e+01,1.682535950961347382e+01,4.640863327325590149e+01
1.654999999999998650e+01,2.113560771904152347e+01,5.118633253047940457e+01
1.658999999999998565e+01,2.346540815560773297e+01,5.383362779645474916e+01
1.664999999999998437e+01,2.623882552418616854e+01,5.709096258666752988e+01
1.668999999999998352e+01,2.773658604136122463e+01,5.891503469812293048e+01
1.674999999999998224e+01,2.966048589525428270e+01,6.133175736054030835e+01
1.678999999999998138e+01,3.081291186727657561e+01,6.281406599810539859e+01
1.684999999999998010e+01,3.243834548428780096e+01,6.493536086460505885e+01
1.688999999999997925e+01,3.348456992094578055e+01,6.631253086769514482e+01
1.694999999999997797e+01,3.502796014859551832e+01,6.835260673893679950e+01
1.698999999999997712e+01,3.604870045323523442e+01,6.970457256936731483e+01
1.704999999999997584e+01,3.757475049448138549e+01,7.172757884407444351e+01
1.708999999999997499e+01,3.858999025199955213e+01,7.307421550062684901e+01
1.714999999999997371e+01,4.010878925149969376e+01,7.509030992106437452e+01
1.718999999999997286e+01,4.111698853674390364e+01,7.643022299348920967e+01
1.724999999999997158e+01,4.261876976417912033e+01,7.842995229596490958e+01
1.728999999999997073e+01,4.361010777465245525e+01,7.975357388571099193e+01
1.734999999999996945e+01,4.507690368552741944e+01,8.171939338773208306e+01
1.738999999999996859e+01,4.603789832533362159e+01,8.301354197482515929e+01
1.744999999999996732e+01,4.744805733230381861e+01,8.492426387154216627e+01
